year,summer,winter
1941,64.30922266842434,49.381509150842035
1942,64.1192323116636,49.05075449331344
1943,63.94306713708704,48.98648245041924
1944,64.15830828041196,49.72221392345657
1945,64.10699766221241,49.219414760504165
1946,64.12161413901408,49.11000709646754
1947,64.15111063209287,49.18597180005362
1948,64.21278542049701,49.03434878878441
1949,64.15831666299674,49.07662160045334
1950,63.98467960691026,48.8952523320083
1951,64.2685839041564,48.854197889021
1952,64.4246527346123,49.26411061456748
1953,64.36609461770797,49.21453170070613
1954,64.12125250490972,48.85225592109544
1955,64.05449514471849,49.00128952104604
1956,63.927300562987305,48.736053085783
1957,64.29957935968578,49.04820550887534
1958,64.4572664143056,49.53754626363952
1959,64.31339396255966,49.38616998236653
1960,64.36498119057414,49.332235001877706
1961,64.4201783969139,49.5054563281756
1962,64.15295256760754,49.35704400994513
1963,64.2438030514228,49.58389355523708
1964,64.19298222060839,49.25823616294406
1965,63.99182398658181,49.01552185033523
1966,64.37966314307229,49.170841718779236
1967,64.28101185262267,49.01656398334572
1968,64.13237709553755,49.05639740662388
1969,64.40800739332576,48.961581674516886
1970,64.38511800649881,49.48947823675732
1971,64.1266975671906,48.96183900585654
1972,64.26313000760578,49.17936784524535
1973,64.603280720176,49.49585144763999
1974,63.977092376871695,49.1104711387498
1975,64.16006526420057,48.93545307526927
1976,63.8210359160283,49.107306024622034
1977,64.50125484832128,49.34005981573797
1978,64.21542128050666,49.36653284580917
1979,64.5335192837565,49.38084985210082
1980,64.75401703369508,50.08155814752888
1981,64.59049625107082,50.12704536873675
1982,64.39556556175903,49.789575526152994
1983,64.88433750593222,49.96219844455318
1984,64.4833474715002,49.492638436530186
1985,64.38647976016863,49.436275270105774
1986,64.3642590277867,49.713071545792275
1987,64.67044236999193,50.049290116950104
1988,64.87882545675666,50.14628713908877
1989,64.5597981250065,49.77058106152677
1990,64.88343842414403,50.10377750823963
1991,65.0111338937148,50.32193405141123
1992,64.47799572223158,49.971640426423185
1993,64.56452878633775,49.85661950344688
1994,64.67710539050685,49.63498067799887
1995,64.90611207107938,50.40433814506822
1996,64.63723777983232,50.1203926516765
1997,64.8728823477697,50.02822716636753
1998,65.48985668403087,50.50384107142334
1999,64.75777008090354,50.311963302877764
2000,64.68922441434657,50.156784537558686
2001,64.99602710265088,50.07234287855778
2002,65.12074243137808,50.645879411240244
2003,65.23256658064327,50.31191386387615
2004,65.05362362349808,50.41537696919194
2005,65.31716845727452,50.522542154103434
2006,65.27817903593476,50.59285563882303
2007,65.19547605066735,50.85994023298543
2008,64.8999655966993,50.16645202170501
2009,65.1784879810876,50.61256271619277
2010,65.59099133079937,50.499851062560026
2011,65.20001411512271,50.43396363636958
2012,65.23672350453282,50.364831554782675
2013,65.39348938928583,50.45733510089078
2014,65.43307427134938,50.51541354613802
2015,65.53725161602262,50.84870185687748
2016,65.93172702156633,51.437455210747544
2017,65.70037972583164,51.18980318764197
2018,65.49487279215138,51.14638386738578
2019,65.86624553358604,51.0505879335131
2020,65.9346454754066,51.35702854126376
2021,65.58203181668887,50.94208044963636
2022,65.74236710187499,51.032792949950625
2023,66.03695332686054,51.316584259599715